,e0e9a0df-7052-4d42-b3fd-10ee23ceae62
COL14A1,2584
DNER,170
CPSF4L,3
KLHL17,736
ZCCHC13,0
PLA2G2C,25
ZSCAN23,51
RINL,597
C17orf99,9
OR7D2,9
TPRG1,720
MORN2,297
RTP5,22
S100A3,776
UBQLN2,2679
RILPL1,872
C19orf67,3
ZNF490,195
CLCN1,2
NRN1L,0
NWD1,154
ARL4C,5077
RNF133,9
TMEM221,44
TREML4,15
RAB42,452
WNT7B,639
C11orf95,1059
SCGB1C1,0
PRSS45P,2
PLA2G4E,86
GPR89B,127
MESP2,16
FAM25A,0
EYS,25
C6orf132,1018
DAZ1,0
OR2AG2,0
MAPK12,495
TMEM215,1
NUTM2G,25
COL4A5,1989
KRTAP10-6,0
AGRN,19288
NHS,238
OTOG,0
FAM166A,13
TMPPE,122
ZNF626,383
HEPACAM2,12
SMTNL2,215
ZC3H6,1377
LAMTOR4,2797
PRKAR1B,1238
NUTM2B,27
NCR3LG1,121
DCUN1D3,1198
POTEE,2
AD000671.1,0
ZNF793,384
TUBB4B,7338
AGAP4,255
COMMD6,2249
PLA2G2A,162
IL17REL,23
HYKK,160
OR7A5,0
C15orf62,222
RUFY4,195
ZNF383,636
HES4,318
IGFL1,7
ZNF669,145
PEAK3,58
LRRIQ4,9
CENPP,136
PLSCR1,3442
C3orf62,676
ENO4,20
ZNF559,855
SBK1,356
OR6C6,0
BSPH1,0
SLC38A3,10
OR6N2,1
GTF2F2,1062
CIBAR1,653
FOCAD,1979
PRR19,25
ZP3,69
C10orf99,1
H3-5,13
IFNA2,0
JAKMIP3,48
PPP3R2,1
PDCD1,245
CLEC2A,0
GPR21,7
TCTEX1D4,59
SELL,1157
MAGEB5,0
CHM,1295
NANOS2,0
BLOC1S5,613
CERKL,27
SLC24A5,0
IER5L,126
H2AX,858
INSC,101
SERPINA5,12
C19orf54,1323
LCTL,11
NCCRP1,67
KRTDAP,13
COL25A1,30
FAM83G,578
CFAP77,107
SRSF10,5822
HBA2,2850
DUSP28,175
CCDC9B,2279
NBR1,7639
OR2G6,1
RALGAPA2,4641
NDOR1,1288
FBLL1,6
NKAIN2,0
KRTAP1-1,0
PAQR9,0
CLEC20A,0
CFAP54,140
CLN3,199
FAM72B,17
ASAH2,14
SUMO2,4038
NANOS1,75
HMX3,0
IGFL3,0
GOLGA8M,30
ZNF177,10
RTL6,1608
DPYD,3819
S100A16,3434
PTAR1,3186
CC2D2B,79
RNASE9,0
SAXO2,234
RHCE,14
C2orf80,0
IDO2,99
PARVB,1644
SLC4A5,342
UROS,1567
OR56A5,0
KRTAP24-1,0
ZDHHC9,2404
ZBED6CL,808
QRFP,22
DUSP29,1
SMIM15,1554
OSTN,7
VWC2,13
FAM221A,687
TMEM120B,1008
FSIP2,97
RBM34,52
NOXA1,1442
TMEM198,139
BCL2L15,100
FZD9,8
SPRED3,46
OPTC,1
PLET1,3
ADRB3,20
SKOR1,54
CATSPER4,0
PRELP,10641
PLA2G2E,1
ZNF548,1079
MTF1,1125
TMCO2,2
SHISA6,33
TMEM201,947
NHLRC3,2786
HMX2,0
SNTN,318
ZDHHC11,330
CALHM6,53
CNR2,48
SLX4,613
GLRA4,3
ENTPD8,38
RPL14,17155
BEND4,22
FAM78B,45
ZNF563,137
TMC3,5
FBF1,300
KLRG2,185
ASTL,35
MSL1,5725
AC099489.1,124
LRRK2,15829
BSX,0
GJB3,21
INSYN2A,9
TRMT2B,1105
HACD4,2867
CFAP126,264
NYX,0
FAM120AOS,2106
UTS2B,15
C9orf152,684
NOC2L,2964
MSANTD1,71
AADACL3,0
NELFB,3659
SLC15A5,1
LIPI,10
LRRC66,17
ZNF292,2564
HUS1B,6
KCTD21,479
SBSN,1
ADAT2,1251
KIR2DL4,9
MAGEB16,0
VHLL,0
DUSP21,0
ZNF567,372
NDUFA4,4462
ANKDD1B,242
ALKBH2,358
RNFT1,849
RNF222,5
CGB5,0
RELN,137
FAM111B,75
APOD,610
H1-0,6491
GAGE2A,0
LITAF,15518
VSTM1,8
TMEM120A,1775
ARID2,1892
FAM25G,0
SF3B3,5846
PRSS48,1
IL1RAPL2,0
BLOC1S3,743
SP6,127
ANKRD34B,1
PLAC9,708
FAM47B,0
NKAPL,21
FSCB,2
CLDN4,8517
ZNF573,144
GRAPL,2
FAM47E,247
JPT1,2008
ZNF527,330
ZAR1L,1
KRTAP10-12,0
S100A13,529
ZNF33A,2517
OR14I1,0
KRT77,0
PCDH18,1287
DCAF8L2,0
ZNF600,628
BTBD8,545
MAOA,6405
C15orf61,158
NUGGC,121
TSPYL1,3939
SPANXN3,0
TRIM64B,0
PNRC2,3678
DRICH1,8
GJB5,10
FHIT,365
ALKAL2,138
ZKSCAN3,440
FOXR2,0
RRP7A,1550
LIN54,776
FAM53B,3328
FAM180A,92
BNIP5,1
SPANXN4,0
S100A14,4727
KAZN,1267
SLC35E2B,3815
TOGARAM2,433
SPATA31D4,0
NEMP2,451
ALG1L,24
KIAA0408,58
GSPT2,614
TBC1D28,0
C8orf76,105
CXCL17,2972
OTUD6A,0
HMGB1,9224
MMP23B,36
SH2D5,6
ZFP92,301
NCR1,61
RASSF10,103
GJB4,1
OR2L13,0
BLOC1S2,1987
SYCP2,285
ZNF724,11
IL1RAP,603
PTPRT,83
MYBPC1,4
PAX5,84
OR5K4,0
OR6M1,0
SPOCK3,7
ZNF676,27
ZNF699,337
TDRD7,1222
CCDC189,37
OR8A1,0
KIAA0895L,1960
HLA-DRB1,60212
VN1R2,1
MYT1,14
SERPINA3,40
AKR1C3,1195
SPATS2L,2621
ZNF250,658
WDSUB1,681
ZNF79,235
S100A4,9011
PLEKHG4,1483
KRTAP4-3,0
FAT4,2478
KIF19,162
OR6K2,0
ZNF681,192
ACADSB,2657
STK40,4958
OR10J1,0
TMEM63A,5497
CTSE,8324
SEMA4A,2305
HRCT1,114
MPHOSPH8,4048
GREB1,182
SIRPB2,1404
ZNF766,852
RYR1,450
SRGAP3,567
KRTAP5-3,0
FAM217B,691
SULT1C3,0
TUBB,12586
LCOR,2087
SUPT5H,7037
XPNPEP3,974
OR2T2,0
OR2C3,4
ZNF107,523
OR10S1,0
SFTA2,4961
PPIA,9707
ZNF471,607
ZNF836,337
ZNF493,1002
GTF2IRD2,339
GRM7,2
SUPT3H,402
BECN2,0
NIF3L1,759
ATP2A1,94
IARS1,3761
POM121,1373
ZBTB44,3494
GIMAP5,677
STK31,62
CGB7,18
NLGN3,92
OR8D1,0
ADH7,8
ZKSCAN7,206
ZNF729,0
CD55,18176
CPNE4,19
ZNF565,154
NTNG2,178
ELAVL3,7
WDR5,1833
LONP1,4296
TRRAP,4434
NUDT11,19
SRGAP2B,150
FUT4,429
ASB13,1132
SLC35F1,12
ZNF34,336
ZNF781,119
ZNF140,675
INCA1,321
ZNF774,228
PTPN1,8814
EVL,10215
SPANXD,0
THEM5,166
NOXO1,0
EPHB4,4384
PRTN3,1
ZNF765,610
ZNF124,274
XRCC6,9114
S100A5,17
C20orf204,73
PPP1R26,2655
NBPF4,3
TSC22D2,1908
CRYBA4,3
ASMT,15
ASMT,0
NPIPB15,291
ZNF569,261
ARMCX4,1311
YRDC,486
ZNF777,937
PIK3R4,1883
ZNF775,161
ZNF605,856
TRAPPC2,863
RFX8,12
MYL6B,523
ZNF799,240
FGF16,0
SIAH1,705
GK2,0
C20orf96,633
ESRRG,33
IPO4,7
NCOR2,18001
SULT1A1,3059
ARL9,10
PRPF40A,4232
GDAP2,1010
TCEAL3,743
ANAPC7,2259
TPK1,532
SLC6A9,931
AFAP1,282
NACA,11822
MYO18A,6052
OR2T3,0
SPTSSB,17
BORCS6,357
MAN2A2,4613
MME,1889
FAM72A,18
CCDC196,1
CACNA1H,1249
SULF2,1240
HBG2,1
LAMA2,3021
PFN3,0
PLXNB2,22570
OR5AC2,0
AJAP1,23
XRCC2,64
MYO6,6228
MRTFA,3668
MBD3L2B,0
HDAC2,2993
ZNF782,185
SLC22A25,4
POTEF,1
ZNF846,554
MMP1,20
ADH1B,16574
UGT2B15,1
TCF4,6043
WNK3,39
SDHAF3,359
HRH1,505
RABL6,4481
ZNF136,703
ZKSCAN5,655
ZNF502,208
TRAPPC4,1434
TTC30B,293
SLC30A10,0
TECPR2,1679
TLR7,858
FAM180B,3
ZFP62,936
ERI2,418
TOMM7,4706
HSH2D,914
TRPV1,532
ZNF33B,2146
ZNF512B,2481
AMZ2,2039
ZNF431,2060
ALKAL1,1
NF1,3532
VKORC1L1,4488
ZNF418,312
DAPK1,11965
LCE1B,0
HLA-DQA1,17358
COL27A1,2282
GM2A,12121
H2AC13,5
CLPSL2,0
S100A2,109
ZNF700,981
POU3F4,0
OR14A16,0
CD47,20982
OR52K1,0
TLE1,1215
MAML3,1323
H2AC11,21
STRN3,1588
ZNF239,100
SPINK14,3
SPRR2B,0
CHRNG,2
ZSCAN16,146
MVB12B,3086
ILRUN,7441
AC008758.1,0
OR11G2,0
POTEI,2
ADA,420
ARID5A,2738
PATE2,1
PPTC7,2223
KRT39,21
TOMM20L,3
RGPD4,39
NHLRC2,3313
H2AC7,0
ZFP28,572
CRACDL,863
CBWD3,54
SCN8A,53
LAMB3,10516
H2BU1,8
TEX43,1
KPNA5,1101
ANKRD36B,81
ARHGEF12,12032
HCAR1,27
PDLIM7,2561
FLNA,79195
TMEM26,341
SRGAP1,719
FAM3C,996
NOP9,1073
OR2T4,0
ZNF705A,2
SLC39A10,1916
CASP4,4023
AP2A1,5142
ZNF585A,406
FUT11,1235
SMIM10L2B,155
ANXA4,8190
LAGE3,466
WDR5B,478
FAM163B,4
NPIPB9,5
WDR45,1116
METTL9,3084
ZNF138,358
ZNF429,889
ZNF470,414
SERTAD1,1022
ZNF100,542
EOLA2,645
ZNF398,839
ZSCAN25,934
ANXA6,9589
ZNF441,539
GMFB,3234
SIGLEC15,129
ZNF420,284
ZNF763,193
ZMYM1,603
DTHD1,379
H4C3,3
ZSCAN26,614
MAFG,1831
ARRDC1,3442
KIAA1671,3384
KRT35,0
IGF2R,13668
LCE1C,0
GAL3ST4,718
DYNC1H1,16489
SLC6A17,8
IFNL3,0
PCBP2,7039
ZGPAT,386
SLC25A29,4287
PGAP1,1028
SRC,4506
ZNF679,0
ZNF682,516
OR8B8,0
ZNF772,388
ZNF257,79
PCNX3,4512
ADAM32,27
ACSL5,3856
LRRC8B,964
ABCB8,2266
H3C12,0
SND1,8762
ZNF785,481
SULT1A2,156
NEK5,214
PSMD12,2211
MAGEA6,0
ADGRA1,26
PIWIL2,43
NOL4L,2292
CYSRT1,83
SLC22A4,113
ZSCAN5B,3
ENTPD4,3482
C1D,742
TBC1D9B,8105
OR1J2,0
H4C11,3
SLC2A7,0
FAM110D,294
SERPINA1,31130
TPSB2,2355
KANK2,12386
C6orf141,110
GTF2E2,911
IL27,9
GUCA2A,28
RAD54B,57
ZNF165,146
SYNGAP1,1188
FITM2,909
BLM,129
ZNF720,911
OR10D3,0
DDI2,2767
SVIL,3518
TRIM33,3358
LRP10,12721
PELI1,4189
ZNF655,5181
MRPL21,818
LYPD2,36
UAP1L1,2519
ZNF98,3
FBXL22,33
ZNF786,319
ZNF517,777
S100A7L2,0
ZNF675,392
SLC22A5,1198
DACT3,587
ADARB1,3962
ZNF860,74
HTT,8306
OR6N1,9
C5AR1,3942
DIO3,35
CYP2B6,4
H3C4,0
DCHS2,96
VEPH1,4038
FABP12,3
SHPK,131
OR51D1,0
IPP,506
OPALIN,0
OR13G1,0
MAP3K5,2346
OGDHL,17
CYP2F1,96
GSTK1,6351
HNRNPAB,2776
OR2L5,0
STMN3,1348
PDGFA,1727
GYPE,480
COL13A1,966
SPN,4071
ZNF695,0
PCDHB11,187
ZNF628,908
GALP,0
SLC2A10,943
ZNF665,197
RPF2,789
SLC28A3,119
FAM177B,22
MIB2,3723
OR6Y1,0
MYO5A,3112
GZMM,345
ATG7,2183
SIPA1L1,2668
TTC30A,327
ELANE,27
RAB40C,2148
PIGN,1151
COL4A6,232
ZNF624,244
HOXA4,26
TOPORS,1126
BCO2,176
KCNMB2,14
ENTPD6,3539
DMBX1,4
OR11L1,0
ENPP1,246
CCDC154,236
FAR1,4197
CPLANE1,1917
ZNF841,988
MFAP5,214
MYH6,0
ZNF615,483
EOLA1,469
CDC42SE1,4737
MPEG1,5429
SERPINB2,6
DPP4,3479
SERPINB13,0
PDCD1LG2,357
ZNF433,196
CCER1,0
DNAH10,226
SLC22A24,0
OR51C1P,0
KRTAP26-1,0
SPTAN1,20283
NMB,128
PARVA,5615
KLHL14,23
OR6C74,0
FAM114A1,2193
RPE,1237
ZNF460,101
CR1L,7
PHF2,3981
RPS26,6464
SCGB1D4,0
PSAP,160551
S100A10,18339
CFAP43,510
LHFPL5,111
RPL37A,21496
HOXC6,6
TXNRD3,553
CFD,5094
STPG3,29
MAP1LC3C,412
MCMBP,2791
EME2,980
KLHDC1,476
ZNF81,553
TAF13,822
ZNF780A,593
ATAD3A,763
OR5B17,0
OR52M1,0
FAM118B,949
ZNF461,397
CCDC180,328
SLC9A8,2028
OCLN,1971
CFAP299,26
H4-16,78
CYP2A13,5
ZNF181,542
OR8G1,0
INKA2,753
ZNF44,1086
GPAA1,4939
ADAMTSL2,1943
SGTB,859
ZNF790,204
PRB3,4
CYRIA,1884
MYO1C,18088
NKIRAS1,684
OR1S2,0
UGT2B17,2
MEIG1,10
SLC22A12,2
KIF13B,2997
NRAP,3
ADH5,6423
SLC22A6,1
H2BC12,541
TEAD4,751
SPG7,7437
HRNR,14
IFNA1,0
HES5,3
ZNF677,597
ERO1A,2237
ZNF823,203
ZNF311,129
ZNF347,724
OR5H2,0
PLCG2,2597
FCHSD1,1384
ZNF71,441
AADACL2,0
S100A6,30992
RPL12,18870
DNM3,680
ZNF121,1645
MPZL1,5226
VPS13A,4126
MBP,4250
AKAP17A,4485
AKAP17A,0
ELOVL2,17
GOLGA6L9,233
LEKR1,36
C1orf122,923
AL592490.1,0
CLEC9A,143
KEL,133
NOL8,1753
IRAK4,1695
CCDC151,99
DLGAP2,16
MRPL42,1767
ENTPD7,541
FCGR1B,136
SPANXA1,0
ZNF335,2107
ZNF560,3
TUBA3C,0
RPS4X,50686
ZNF273,440
ZNF84,1691
MAK16,414
ZNF667,246
AVPR1B,0
SIRPA,8061
GRK6,3333
PRIM1,109
MARCHF5,1732
POTEH,0
NPIPB13,346
AKR1B10,53
SULT1C4,1239
CYP2A7,11
ZBTB14,697
KRTAP9-9,0
CD2AP,3464
NUP62CL,37
SFI1,2233
KRTAP4-6,0
TMPRSS11F,0
ZNF649,237
ADH4,1
OR2T6,0
ZNF248,1158
CHSY3,166
TOR4A,2009
LPAR1,837
MB,40
OR2L3,0
DEFB107B,0
HIBCH,1249
ZNF544,818
TMEM229B,528
SOWAHC,1015
ZNF770,718
NPIPB6,7
HMGN5,248
MIER1,2503
MAN1A2,2620
SVIP,1149
ZNF251,1144
DDRGK1,3013
FAM47C,2
TFDP1,2158
CLEC4C,31
ZNF607,248
BPIFA1,12
ZNF334,521
HSD17B11,3820
SZT2,3678
SULT1C2,908
ZXDA,152
RPS6KL1,250
AC092143.1,0
CACNA1E,5
QRICH1,4017
CSF2RA,1852
CSF2RA,0
FKBP1C,25
DDX42,6549
RPL23A,3308
SLC29A3,2096
STYX,1070
UBL5,3013
HELZ,4209
TMEM116,928
KRTAP4-5,0
UCKL1,2413
OR5B21,0
CARD11,1564
ZNF485,95
PEG3,148
SDAD1,1586
ZKSCAN8,2172
PHETA1,1043
TMEM239,0
HYLS1,101
MYL4,23
ZNF442,111
ZNF813,254
HOXC4,22
DCAF12L2,7
PIM3,5696
GET3,2171
ASPH,6928
SPRED2,2184
WWP2,7008
GFPT1,4094
UVRAG,2470
KRTAP13-1,0
ZNF26,1176
TMEM207,2
ITSN2,5255
NTRK1,84
OGA,11913
MT1F,209
TCAF1,905
ZNF69,582
TXNRD1,5536
NRARP,185
ZNF583,243
KRTAP4-1,0
CCT8L2,0
OR14L1P,2
ZNF568,365
ZXDB,693
ZNF480,531
ZNF587,1121
TPM2,4982
RTP2,0
SH3BGRL2,1661
ZNF808,554
ANKRD35,133
B3GNT6,3
YTHDF2,3358
TMA16,578
HLA-DRB5,20119
ATL1,266
CNGA1,19
MAFK,3451
ARMH1,286
ZNF43,896
GPN1,948
PLN,601
C2CD4A,30
ZNF28,633
ITGBL1,438
ZNF511,258
C20orf203,10
ZNF627,658
KCNRG,23
WDHD1,255
ZNF789,607
CTNND1,1618
DDX39B,7870
SLC34A3,63
RD3,14
SPANXC,0
SH2D1B,181
ARC,383
NUDT16,2845
TLK1,2371
LRBA,3281
ZNF536,18
MMP17,78
OR2M2,0
BAZ1A,2629
AKR1C4,6
COPS8,1619
CCDC69,4230
MDM4,4309
RYR2,763
ZNF534,27
KLHL9,2217
FAM3D,53
NCOA6,2953
STK39,1109
TAT,6
C6orf89,5551
CALM1,17858
LPA,7
TAFA2,39
OR10G6,0
TTC37,4376
OR5BS1P,0
TUSC1,702
MAGEA1,0
PAPSS2,11859
SLC9A6,1313
FAN1,1397
ABCA4,86
EIF1AY,0
MT-ND6,78643
IPO9,4126
GPX6,0
CEP290,1209
MT-CO2,185215
GLMP,1549
TOGARAM1,1009
DLL1,929
ANKRD13B,255
ECI2,888
UNC13B,10513
TEX45,7
MT-CYB,214716
LDB1,7343
PPP1R14C,2243
CTR9,2473
SMOC1,61
F5,91
MSRB1,957
LRRTM3,0
ZNF652,2154
SMURF1,3152
SLC5A3,1679
GPATCH3,601
CDC42BPB,5023
PLXNB3,488
OXCT2,5
RPL10A,18500
COLGALT2,397
EPS8L3,6
EGFL6,1988
MT-ND2,186088
SYCP1,2
APCDD1L,5
RCSD1,3278
RASSF9,802
FAM169A,40
ZNF830,734
GRIN3A,90
MT-ND5,203993
MUC2,0
CNOT7,3392
TMEM184B,4216
MTOR,3079
SCAMP5,350
ZNF521,685
ALPK2,9
BRINP2,3
MAGEB3,0
LRIG2,1942
MT-CO1,590786
PNP,810
PAX9,49
LRRC10,0
GK,873
FOXJ3,3374
ZNF358,1623
SFT2D1,2109
CD247,1311
GRM3,9
CHAMP1,883
INPP5F,1052
ARHGAP11A,168
SUCNR1,468
HMGN2,7108
SELENOM,2084
UBE2J1,4251
GJC2,213
OPA1,2519
DENND4B,4823
RYR3,140
ZNF277,1258
MT-ND3,56332
KTI12,74
STYXL2,3
SELENOT,4051
ARHGEF15,3678
TOX,913
CES1,18058
CD3E,2749
RUSC2,2786
C1orf68,0
FICD,337
OSTC,2291
R3HDM4,3173
TSEN15,1648
LTN1,1775
RUNDC1,1118
CCDC152,222
STKLD1,58
GRK5,4178
TYW1,752
DCAF12,2492
SFMBT2,1371
ASB12,19
PNMA5,17
ITPRIPL1,326
MT-ND4,420529
SMC5,2986
MT-ND1,166480
DCAF12L1,1
PRMT6,561
SHISA4,518
CIPC,1327
CAPZA2,6397
MT-ATP6,100976
TOP1,3655
PRC1,3
BHLHB9,1
MAP3K3,4122
L1CAM,46
SREBF2,10829
C1orf174,1043
POU3F3,0
RASGEF1A,232
SPOUT1,14
RPL39,2731
DZIP3,1218
KIAA0753,1113
DCLRE1A,473
ATG9A,1333
NOS1AP,64
CSAG1,0
APRT,2922
GPRASP1,831
TBKBP1,1125
MAGEE1,245
CCDC167,317
MT-CO3,221881
ZFP2,155
SOWAHA,11
L3MBTL3,551
DMD,1510
MFAP3L,386
NAGA,3318
SMG5,4572
KIFBP,1380
TGM2,39409
ARMCX6,517
PJA2,7240
RORB,89
SGMS1,3246
OR10R2,0
OR10Z1,1
ZNF525,321
INF2,11670
IQANK1,421
AL139353.1,15
GP1BB,0
OR2T5,0
OR2L2,0
EFCAB2,311
COX20,96
CHML,896
STUM,104
CAPN8,4217
TATDN3,710
CR1,605
RAET1G,19
C1orf53,72
SAMD5,725
TEDDM1,5
GJE1,0
ECT2L,91
GPR52,2
METTL11B,0
FCGR3A,8567
TMEM244,0
OR6K3,8
CENPW,107
SPRN,13
FAM229B,248
FANK1,224
LORICRIN,4
PRR9,3
LELP1,0
SPRR2E,0
KPRP,0
EEF1AKMT2,283
FAM24A,0
DDO,298
PLPP4,9
H3C14,3
H2AC18,0
H2BC18,49
PNLIPRP3,0
H3C15,0
HSD3B1,4
HSD3B2,3
RBM20,71
SMIM9,4
C6orf163,53
RIPPLY2,0
GDI1,7422
PCMTD2,4552
SOX18,735
LIME1,162
OOEP,13
KHDC3L,2
DPPA5,0
C1orf146,14
SPANXN1,0
SPANXA2,0
CXorf66,0
C10orf62,0
SAMD13,32
RTL8A,1666
CCDC160,16
C1orf141,25
EFCAB7,437
DEFB110,0
GLYATL3,0
LDLRAD1,234
RHOXF2B,0
ZYG11A,3
LCN8,0
AL355987.1,0
C1orf185,0
GLT6D1,0
IFIT1B,4
CT83,1
LIPN,52
LIPK,0
LIPJ,7
TRPC5OS,4
LRIT2,0
LRRC73,33
FOXO6,37
TCEAL5,2
SYS1,1981
TCEAL6,2
INPP5B,2407
RPA4,18
NEU4,52
MAFB,4570
TRAF3IP1,948
CHIC1,723
GIGYF2,3130
C2orf72,133
RUFY2,1121
NHSL2,1563
GGTA1,1079
PHACTR4,2791
CLPSL1,0
ASAH2B,200
AGAP6,44
TIMM23B,111
ZDHHC18,2327
TMEM273,943
CXorf65,1
AGAP9,246
NPY4R,36
GPRIN2,1741
SYT15,211
MACO1,1755
PTPN20,78
ZDBF2,590
TXNDC8,0
AWAT1,0
DAXX,2119
BMPR2,10239
TCEA3,2297
PFDN6,684
RING1,2459
HSD17B8,658
RXRB,3427
OXLD1,864
OR13C3,0
COL11A2,237
HLA-DOA,5840
BRD2,11321
HLA-DMA,13999
COL5A2,2250
PSMB8,4219
TAP2,2662
SPIN3,797
NBDY,947
TMEM235,3
PAGE3,0
HLA-DRA,114729
BTNL2,5
COL15A1,595
TSBP1,8
TMEM225,0
NOTCH4,7186
PBX2,3967
AGER,79555
RNF5,1884
AGPAT1,1171
PJVK,194
PRRT1,142
FKBPL,193
MRPL38,154
SMIM5,148
ERICH2,263
SP5,96
STK19,769
CD300LD,0
BTBD17,2
DXO,717
SKIV2L,3496
NELFE,2293
NXPE2,0
SPANXN5,0
ZBTB12,113
SDHD,2341
EHMT2,2326
XAGE1A,0
LAYN,664
XAGE1B,2
SLC44A4,1396
NEU1,3402
HSPA1B,1548
HSPA1A,2376
HSPA1L,128
LSM2,922
VARS1,2854
VWA7,301
CARD16,719
MBD5,955
MSH5,191
CSHL1,0
MPIG6B,43
LY6G6C,8
AL662899.1,0
LY6G6F,0
ABHD16A,86
LY6G5C,143
CSNK2B,379
GPANK1,838
C6orf47,982
FAM155A,47
APOM,78
TRIM49C,0
TRIM64,0
BAG6,11298
PRRC2A,13090
AIF1,2369
NCR3,137
PRAMEF20,0
PRAMEF17,0
PRAMEF19,20
PRAMEF14,0
LST1,1841
NFKBIL1,805
PRAMEF15,0
PRAMEF9,0
PRAMEF7,0
MCCD1,0
ZNF814,759
MICB,556
AADACL4,2
ZNF551,332
MICA,1751
ZNF805,634
HLA-C,86386
POU5F1,134
ZSCAN5C,3
CCHCR1,1069
PSORS1C2,60
CDSN,5
PSORS1C1,555
C6orf15,0
MUC21,1112
DEFB121,0
DHX16,2719
C6orf136,650
MRPS18B,2270
PPP1R10,4417
KRTAP5-11,0
KRTAP5-10,8
ABCF1,3600
PRR3,768
LILRB3,1872
DDR1,8677
LRCOL1,67
GNL1,4001
HLA-E,99281
DPRX,2
TRIM39,706
ZNF468,932
TRIM15,0
ZNF616,471
FOXB2,0
TRIM10,2
TRIM40,0
TRIM31,25
RNF39,186
PPP1R11,2634
DISP3,30
RACK1,38073
HLA-G,1014
TBC1D8,1737
NMS,0
HLA-F,7811
ZFP57,2
ASPDH,87
MOG,0
OR2H2,3
CBY3,4
C9orf57,0
IL31,0
AKT1S1,2124
GABBR1,3880
MAS1L,8
OR2H1,0
OR11A1,0
OR14J1,0
OR2J2,0
OR2J3,0
OR2J1,0
OR2B3,0
OR2W1,0
SPDYC,2
C9orf135,43
TRIM27,3344
MALRD1,137
RANBP17,916
INSYN2B,10
FOXD4L5,0
AL391987.2,4
TTC25,164
MRPL53,1
MROH6,678
ATXN2,3112
DCTN1,6045
SPATA31A1,0
PNMA8B,182
TCTN1,1418
FAM216A,222
ZBTB48,1693
IGFL2,1
IGFL4,7
KRTAP9-3,0
KRTAP4-8,0
GPR20,55
KRTAP1-4,0
KRT40,7
KRT25,0
MZT1,681
SPINK9,4
LRRC3C,0
PRR20B,0
PRR20A,0
ZNF155,128
UQCC3,139
FBXO48,281
GRXCR2,0
FAM221B,10
CD177,4
PSG5,0
ZNF783,1188
ZNF425,101
LRRC10B,146
FBXO47,2
C12orf73,276
PCDHGA1,34
PCDHA9,16
PCDHA8,5
PCDHA7,10
PCDHA5,6
PCDHA4,32
PCDHA2,15
PCDHA1,0
TRIM13,1485
ERICH4,25
MS4A13,0
PRSS1,8
SPIRE2,848
AARD,346
PABPN1L,9
OR5D16,0
OR5L2,0
PKHD1L1,323
SLFN12L,154
SLC35B4,883
LGALS7,1
SYCE1L,37
TMEM231,445
FAM71F2,151
CCNI2,22
TMEM240,52
FRG2,0
FAM205A,2
CDKL4,7
TMEM88B,2
ACCSL,0
C4orf47,72
TRIQK,1714
SDHAF1,542
ARID3C,6
PSENEN,397
C11orf91,7
FABP9,0
ZBTB10,1449
C4orf46,398
SCGB2B2,46
LGR4,592
PSMB10,912
VIT,12
AC105052.1,0
SPDYE2,18
E2F4,3035
PDE7A,3882
TMEM170B,1198
MUC12,8
CTXN3,0
MGAT4D,4
SNX2,4557
SAP25,5
NT5M,100
SARNP,20
OR6C68,0
OR6C65,0
OR6C3,0
OR6C1,0
ADGRG1,2014
IPO7,6768
PRR13,2077
TECPR1,3839
MT1H,3
SLCO6A1,0
MT1A,62
INSYN1,187
MT1M,407
CFI,611
OR52E6,0
SAMD9,2047
KRT6A,7
CNEP1R1,951
KRT81,15
EXOC3L4,242
KRTAP12-3,0
IZUMO3,0
KRTAP10-2,0
TP53TG3D,1
TP53TG3C,0
ATP6AP1L,254
CCDC85C,1068
OR52J3,0
OR51A2,0
OR51A4,0
C2CD4B,58
RGL3,3276
NAP1L4,5342
TMSB4X,105568
TMEM256,131
CPT1B,49
SMN2,225
SERF1B,40
HMGN1,6603
MUC19,19
DENND6B,802
EIF3CL,17
LCMT1,1085
MFSD2B,19
VCX3B,9
CDPF1,449
HTN3,0
LIN52,632
ARSH,0
ACOT6,2
SMIM11A,3
TECRL,0
DPF3,99
MANSC4,74
LINC00634,0
ETFRF1,904
C17orf107,33
MBD3L4,0
ITSN1,1811
ITPRIPL2,2149
DENND1C,2380
CRLF2,15
CRLF2,0
CRYZL1,1163
C5orf51,1511
GAGE1,0
ARRDC5,101
CYS1,408
PLPP6,455
KLRC2,8
KLRC3,3
C16orf96,31
GMNC,0
TTC23L,51
CLEC6A,13
C22orf42,0
NANOGNB,0
LRRC72,0
C1QTNF9B,0
KRTAP5-6,0
KRTAP5-2,0
KRTAP5-1,41
DEFB134,0
DEFB135,0
DEFB136,0
BHLHA9,0
ZNF316,3358
DAZ4,0
ONECUT3,2
CEMP1,0
OLIG2,2
C21orf62,15
RNPS1,5635
DAZ2,0
NYNRIN,2631
DNAJC19,1052
IFITM5,13
SMIM21,0
C18orf63,1
DEFA1,0
DOK6,455
JPT2,2446
TMEM211,7
SERPINB11,2
SERPINB4,0
SERPINB5,1
ZDHHC11B,537
KRTAP19-8,0
KRTAP20-3,0
KRTAP20-4,0
KRTAP22-2,0
KRTAP27-1,0
CFAP99,48
GOLGA8O,21
TMEM191C,20
RNASE13,4
HBA1,22
HBM,3
ELOA2,0
ATP10A,2233
ANKUB1,27
TSSK2,0
PRR23A,0
