,e0e9a0df-7052-4d42-b3fd-10ee23ceae62
PKM,25246
DHX29,1871
DNTTIP2,1921
METTL22,795
TP53BP1,1622
TRO,400
RRP15,958
RHOA,29471
DHX8,2507
PRKCZ,3112
ZFY,2
IARS2,4112
SYT1,232
NAV3,310
IDH3G,2529
ROGDI,486
PDZD4,571
ATP2B3,10
ROCK1,4167
CBFB,2213
PDK3,2658
HYAL2,3767
HDAC4,1321
RASSF1,2855
FGFR3,3194
IFI35,2178
HEATR6,1122
COASY,2689
PLEKHH3,2331
MEF2A,4075
OTUD5,4477
TFE3,4058
TBC1D25,1144
ACSL4,5044
INPP5A,1566
GPKOW,1010
GRIPAP1,4242
FTSJ1,1272
PRR11,261
REEP1,560
ATP11A,17269
POLR1A,2092
LAPTM4A,14951
TTC7A,4743
IP6K2,3456
STON1-GTF2A1L,1
SRBD1,929
KIF2A,1424
RASGRP2,1993
PSME4,3303
IFT80,1198
SIRT2,3379
ERLEC1,3697
PPP2R5B,1641
PYGM,171
PAGE1,1
PITX1,4
TRPC7,0
MAST4,3677
ADGRF5,18542
SDK2,335
ADAM7,0
NUP133,2251
NUCKS1,10820
VPS35,5143
DNAJA2,2716
BCL3,2867
KCNAB2,7099
ABCC9,1344
GAL,0
CLEC2D,1902
FUNDC1,494
MAOB,2103
RORA,3118
DRD4,98
TGFBR3,3586
PLA2G10,72
HES2,241
ATP1B3,4236
NEDD4,845
PIGB,616
MAPK6,1260
GNB5,501
RAB27A,4052
HDHD5,1280
UFD1,1498
LRP6,3468
GUCY2C,15
SCT,49
PHRF1,3470
ELP1,2892
NUCB2,1859
PFN2,800
PTPN3,1710
SPTB,308
DAPP1,1005
FGF10,294
SLC44A1,4638
TMEM260,876
SMG6,1346
EXOC5,2989
CLTCL1,338
FGF22,13
FSTL3,2538
DGCR2,8478
RNF126,1626
MNT,1052
ZXDC,3000
JMJD6,1194
POLB,747
ST6GALNAC1,705
WIPI1,966
FRMPD1,2
GBA2,4080
NDST1,10672
ASNS,86
AP3M2,1148
CNGB1,23
ST6GALNAC2,457
CHAT,5
PABPC1,39272
TESK2,481
CFAP20,1113
CSNK2A2,1392
PTPN21,4059
EIF2B3,759
CAMK2A,77
TCOF1,2005
CDC42,10598
OSBPL3,2197
EPHA8,2
SLC12A3,27
RAD18,655
ATP2B1,3275
TRPM5,14
NCK2,2515
MAP4K4,5035
MGAT4A,4521
RPL31,21127
WDR1,14057
SNX13,2499
MS4A12,0
ARHGAP10,1084
RPS6KA2,9348
ING3,723
VASH1,2483
LMCD1,5085
BUD23,2855
SEL1L,6687
TRIP13,80
ATP6AP1,11230
TCF3,3234
TRIB2,3269
DAZAP1,6452
MBD3,2692
PRLH,0
HLTF,676
FAM50A,3682
FAM3A,2386
CPSF1,6360
MYO3B,9
CYBRD1,28011
CDH19,319
PDCD2,1608
SLC6A15,5
RDH11,2076
PRKACA,4032
ADGRL1,2055
SPP2,1
ACTN1,8141
ZFYVE26,4175
RPS6KA6,250
EPN2,1318
PTPN18,5057
LIMS2,5717
ASIC4,50
SPEG,665
LNX1,244
ALDH3A2,8036
TFRC,4896
SREBF1,7963
TRPC5,2
AFF4,6278
UBE2D1,1235
MPP5,2347
RHOBTB1,1598
SMC1A,4304
HSD17B10,1626
MARK2,3676
HMMR,71
CHFR,2573
TRHDE,287
P4HA2,1849
FCGR2B,726
NFATC3,1315
TRNT1,764
ACADVL,16715
STK10,5897
FBXW11,2682
ACAP1,2991
CRMP1,1179
EVC,1482
DERL2,1610
SIDT1,693
NDE1,807
IRAG1,1164
TMEM38A,399
AP1M1,3331
PVR,1971
XRCC1,1496
SCARB1,3896
CYP2W1,12
MCM2,322
MOV10L1,88
PANX2,169
SELENOO,1860
TP63,189
ALPK1,2168
